name,quadrant,ring,isNew,description,ITR BE,ITR NL,FM,inRadar,
.NET Core,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,N,
A-Frame,"Frameworks, CMS & Programmeertalen",Assess,TRUE,A web framework for building virtual reality experiences,?,,X,Y,
Alpine,"Platforms, infrastructure & Data",Adopt,TRUE,,,X,,Y,
AMQP,Technieken,Trial,TRUE,"Advanced Messaging Queueing Protocol (Apache Kafka, RabbitMQ, AWS SQS)",,,X,Y,
Angular 2+,"Frameworks, CMS & Programmeertalen",Assess,TRUE,,X,,X,Y,
AngularJS (Angular 1),"Frameworks, CMS & Programmeertalen",Hold,TRUE,,,,X,Y,
Apache,"Platforms, infrastructure & Data",Adopt,TRUE,In NL voorkeur Nginx,X,X,,Y,
Apache Kafka,"Platforms, infrastructure & Data",Trial,TRUE,Messaging Queue,,,X,Y,
Apache SOLR,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,,Y,
API Platform (symfony),"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,,,N,
AppCenter,Tooling en testing,Trial,TRUE,"Microsoft - Platform to build, test, release, and monitor apps for every platform",,,X,Y,
Arc42 ,Technieken,Adopt,TRUE,Open Source Software Architectuur model,,X,,Y,
ASP.NET MVC,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,Y,
Aurelia,"Frameworks, CMS & Programmeertalen",Trial,TRUE,"JS Framework for browser, mobile and desktop applications",,,X,Y,
Automated security testing,Technieken,Assess,TRUE,,,X,X,N,
Automated Testing,Technieken,Adopt,TRUE,,X,X,X,Y,
AWS API Gateway,"Platforms, infrastructure & Data",Trial,TRUE,,,,X,Y,
AWS CloudFront,"Platforms, infrastructure & Data",Adopt,TRUE,,X,,X,Y,
AWS EC2,"Platforms, infrastructure & Data",Adopt,TRUE,VM instances,X,,X,Y,
AWS Elastic Transcoder,"Platforms, infrastructure & Data",Trial,TRUE,,X,,,Y,
AWS Lambda,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Serverless functions,,,X,Y,
AWS S3,"Platforms, infrastructure & Data",Adopt,TRUE,,X,,X,Y,
Azure,"Platforms, infrastructure & Data",Trial,TRUE,,X,,X,Y,
Azure DevOps,"Platforms, infrastructure & Data",Trial,TRUE,CI/ CD ,,,X,N,
Backbone.JS,"Frameworks, CMS & Programmeertalen",Hold,TRUE,JS Framework for browser applications,X,,X,Y,
BackstopJS,Tooling en testing,Adopt,TRUE,Visual regression testing,,X,,Y,
Bamboo,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,X,Y,
Behat,Tooling en testing,Hold,TRUE,,X,X,,Y,
"BEM, Atomic etc",Technieken,Adopt,TRUE,"CSS structure WoW (Blocks, Elements and Modifiers)",X,X,X,Y,
Bitbucket,Tooling en testing,Adopt,TRUE,Git Repo with CI/ CD options,,,X,N,
Bitrise,"Platforms, infrastructure & Data",Assess,TRUE,CI/ CD for Mobile Apps (builds -> release),,,X,Y,
Blackfire,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,,Y,
Bootstrap 4+,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,CSS Framework,X,,X,Y,
Bower,Tooling en testing,Hold,TRUE,Package manager,,,X,Y,
Buildozer,Tooling en testing,Trial,TRUE,,X,,,Y,
Burpsuite,Tooling en testing,Trial,TRUE,Security scanning,X,X,X,Y,
C#,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,N,
Certified ethical hacking CEH,Technieken,Trial,TRUE,,X,X,,N,
Certmanager,"Platforms, infrastructure & Data",Trial,TRUE,Certificate Manager for e.g. managing TLS Certs on Kubernetes,,,X,Y,
CircleCi,"Platforms, infrastructure & Data",Assess,TRUE,CloudNative CI/ CD,,,X,Y,
CodeIgniter,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,X,X,,Y,
Component based development,Technieken,Adopt,TRUE,,X,X,X,Y,
Composer,Tooling en testing,Adopt,TRUE,PHP Package management,X,X,,N,
Configuratie/secret management,Technieken,Adopt,TRUE,in repository,X,X,X,N,
Confluence,Tooling en testing,Adopt,TRUE,Team Collaboration & Wiki,,X,X,N,
Continous Deployment,Technieken,Adopt,TRUE,,X,X,X,Y,
Continous Integration,Technieken,Adopt,TRUE,,X,X,X,Y,
Cordova,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Hybrid Mobile App Framework,,,X,Y,
CraftCMS,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,,,Y,
Cucumber,Tooling en testing,Assess,TRUE,,,X,X,Y,
Cypress.io,Tooling en testing,Adopt,TRUE,Browser testing,X,X,X,Y,
Debian Linux,"Platforms, infrastructure & Data",Adopt,TRUE,,X,X,X,Y,
Drupal Decoupled,Technieken,Trial,TRUE,Headless,X,X,,N,
Dependabot,Tooling en testing,Trial,TRUE,,X,X,,Y,
Design Systems,Technieken,Trial,TRUE,,X,X,,Y,
DevOps,Technieken,Adopt,TRUE,"Methodiek, pipelines, automatisering",,X,,N,
DialogFlow,"Platforms, infrastructure & Data",Trial,TRUE,Chatbot,,,X,Y,
Docker,"Platforms, infrastructure & Data",Adopt,TRUE,Containerisation,X,X,X,Y,
Domain Driven Design,Technieken,Trial,TRUE,...,X,,X,Y,
Drupal,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,Y,
Drupal Commerce,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,,X,,Y,
Drupal Test Traits,Tooling en testing,Adopt,TRUE,,,,,Y,
Elasticsearch,"Platforms, infrastructure & Data",Assess,TRUE,,X,X,,Y,
Electron,"Frameworks, CMS & Programmeertalen",Trial,TRUE,Desktop applications build with JS,X,,X,Y,
ELK Stack,Technieken,Trial,TRUE,"Logging, Monitoring & Dashboarding (Technical)",X,,X,N,
Ember.js,"Frameworks, CMS & Programmeertalen",Hold,TRUE,JS Framework for Frontend Applications,,,X,Y,
Emotion.css,"Frameworks, CMS & Programmeertalen",Assess,TRUE,JS Driven CSS Framework,,,X,N,
Episerver,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,Y,
ESLint,Tooling en testing,Adopt,TRUE,Linter,X,X,X,Y,
Express/ Fastify/ Koa,"Platforms, infrastructure & Data",Adopt,TRUE,NodeJS based Webserver,,,X,Y,
Fastlane,Tooling en testing,Assess,TRUE,CI/ CD for Mobile Apps (builds -> release),,,,Y,
eXtreme Programming,Technieken,Adopt,TRUE,methodiek om samen te werken,,X,,N,
Firebase,"Platforms, infrastructure & Data",Assess,TRUE,Google - Platform for building Frontend & Mobile Apps (incl. backend/ digital services),,,X,Y,
Flutter / Dart,"Frameworks, CMS & Programmeertalen",Assess,TRUE,Cross Native Mobile App Framework,X,,X,Y,
